"Subject","Time","Value","Flags"
"Total employment,('000)","1956",24795,
"Total employment,('000)","1957",25335,
"Total employment,('000)","1958",25530,
"Total employment,('000)","1959",25797,
"Total employment,('000)","1960",26247,
"Total employment,('000)","1961",26591,
"Total employment,('000)","1962",26690,
"Total employment,('000)","1963",26744,
"Total employment,('000)","1964",26753,
"Total employment,('000)","1965",26887,
"Total employment,('000)","1966",26801,
"Total employment,('000)","1967",25950,
"Total employment,('000)","1968",25968,
"Total employment,('000)","1969",26356,
"Total employment,('000)","1970",26668,
"Total employment,('000)","1971",26772,
"Total employment,('000)","1972",26875,
"Total employment,('000)","1973",27160,
"Total employment,('000)","1974",26829,
"Total employment,('000)","1975",26110,
"Total employment,('000)","1976",25974,
"Total employment,('000)","1977",26008,
"Total employment,('000)","1978",26219,
"Total employment,('000)","1979",26652,
"Total employment,('000)","1980",27059,
"Total employment,('000)","1981",27033,
"Total employment,('000)","1982",26725,
"Total employment,('000)","1983",26347,"B"
"Total employment,('000)","1984",26297,
"Total employment,('000)","1985",26397,
"Total employment,('000)","1986",26913,
"Total employment,('000)","1987",27236,
"Total employment,('000)","1988",27416,
"Total employment,('000)","1989",27989,
"Total employment,('000)","1990",29323,"B"
"Total employment,('000)","1991",37373,
"Total employment,('000)","1992",36875,
"Total employment,('000)","1993",36444,
"Total employment,('000)","1994",36174,
"Total employment,('000)","1995",36176,
"Total employment,('000)","1996",36045,
"Total employment,('000)","1997",35897,
"Total employment,('000)","1998",36438,"B"
"Total employment,('000)","1999",36281,
"Total employment,('000)","2000",36467,
"Total employment,('000)","2001",36577,
"Total employment,('000)","2002",36245,
"Total employment,('000)","2003",35846,
"Total employment,('000)","2004",35841,"B"
"Total employment,('000)","2005",36355,
"Total employment,('000)","2006",37172,
"Total employment,('000)","2007",37989,
"Total employment,('000)","2008",38541,
"Total employment,('000)","2009",38471,
"Total employment,('000)","2010",38738,
"Unemployment,('000)","1956",883,
"Unemployment,('000)","1957",759,
