"GENESIS-Tabelle: Tempor�r";;;;;;;;;;
"Arbeitslose: Deutschland/Fr�heres Bundesgebiet/Neue L�nder,";;;;;;;;;;
"Jahre, Geschlecht und weitere Personengruppen";;;;;;;;;;
"Arbeitsmarktstatistik der Bundesagentur f�r Arbeit";;;;;;;;;;
;;"Arbeitslose";"Arbeitslose";"Arbeitslose";"Arbeitslose";"Arbeitslose";"Arbeitslose";"Arbeitslose";"Arbeitslose";"Arbeitslose"
;;"Insgesamt";"m�nnlich";"weiblich";"Jugendliche unter 20 Jahre";"J�ngere unter 25 Jahre";"55 Jahre und �lter";"Langzeitarbeitslose";"Schwerbehinderte";"Ausl�nder"
;;"Anzahl";"Anzahl";"Anzahl";"Anzahl";"Anzahl";"Anzahl";"Anzahl";"Anzahl";"Anzahl"
"Insgesamt";1991;2602203;1280554;1321649;95800;395739;-0;-0;-0;221884
"Insgesamt";1992;2978570;1411894;1566676;88215;413753;-0;-0;-0;269772
"Insgesamt";1993;3419141;1691560;1727581;90015;453758;527652;-0;-0;359449
"Insgesamt";1994;3698057;1863085;1834972;92415;466122;638075;-0;-0;420903
"Insgesamt";1995;3611921;1850610;1761311;95222;431103;734754;-0;-0;436261
"Insgesamt";1996;3965064;2111546;1853518;107297;475586;848774;-0;-0;495956
"Insgesamt";1997;4384456;2342383;2042073;113538;501405;936459;-0;-0;547816
"Insgesamt";1998;4280630;2273369;2007261;108488;471996;950110;1599270;194239;529621
"Insgesamt";1999;4100499;2160461;1940038;101246;429584;948587;1530453;193181;503341
"Insgesamt";2000;3889695;2053377;1836317;101342;428510;842115;1454189;183572;465660
"Insgesamt";2001;3852564;2063852;1788712;100699;444074;714109;1354166;170783;459643
"Insgesamt";2002;4061345;2239919;1821426;100101;497602;604279;1369388;156588;499433
"Insgesamt";2003;4376795;2446215;1930580;84299;516135;531889;1521410;168402;542966
"Insgesamt";2004;4381281;2448719;1932563;75062;504381;483274;1680945;174345;545080
"Insgesamt";2005;4860909;2603003;2257639;124055;620132;581702;1588089;179990;672801
"Insgesamt";2006;4487305;2337511;2149729;109158;523906;568264;1669834;184008;645150
"Insgesamt";2007;3760072;1893289;1866710;82821;402544;473913;1371136;176392;555867
"Insgesamt";2008;3258451;1662820;1595622;66646;338525;427130;1080680;163854;495384
"Insgesamt";2009;3414545;1862689;1551856;65477;375801;495807;932733;167118;522031
"Insgesamt";2010;3238421;1759672;1478749;55268;325378;532004;939559;175254;500831
