"Employment status","Frequency","Country","Time","Value","Flags"
"Dependent employment","Annual","Germany","1991",1478.8,
"Total employment","Annual","Germany","1991",1548.1,
"Dependent employment","Annual","Germany","1992",1496.8,
"Total employment","Annual","Germany","1992",1566.2,
"Dependent employment","Annual","Germany","1993",1477.4,
"Total employment","Annual","Germany","1993",1549.9,
"Dependent employment","Annual","Germany","1994",1473.6,
"Total employment","Annual","Germany","1994",1547.2,
"Dependent employment","Annual","Germany","1995",1457.1,
"Total employment","Annual","Germany","1995",1533.6,
"Dependent employment","Annual","Germany","1996",1436.5,
"Total employment","Annual","Germany","1996",1517.8,
"Dependent employment","Annual","Germany","1997",1424.1,
"Total employment","Annual","Germany","1997",1508.7,
"Dependent employment","Annual","Germany","1998",1418.6,
"Total employment","Annual","Germany","1998",1503.3,
"Dependent employment","Annual","Germany","1999",1406.6,
"Total employment","Annual","Germany","1999",1491.7,
"Dependent employment","Annual","Germany","2000",1387.1,
"Total employment","Annual","Germany","2000",1473,
"Dependent employment","Annual","Germany","2001",1375.2,
"Total employment","Annual","Germany","2001",1458.4,
"Dependent employment","Annual","Germany","2002",1365.4,
"Total employment","Annual","Germany","2002",1445.4,
"Dependent employment","Annual","Germany","2003",1360,
"Total employment","Annual","Germany","2003",1438.9,
"Dependent employment","Annual","Germany","2004",1363.6,
"Total employment","Annual","Germany","2004",1441.5,
"Dependent employment","Annual","Germany","2005",1354.2,
"Total employment","Annual","Germany","2005",1434.1,
"Dependent employment","Annual","Germany","2006",1351.6,
"Total employment","Annual","Germany","2006",1429.5,
"Dependent employment","Annual","Germany","2007",1353.7,
"Total employment","Annual","Germany","2007",1431,
"Dependent employment","Annual","Germany","2008",1352.7,
"Total employment","Annual","Germany","2008",1429.6,
"Dependent employment","Annual","Germany","2009",1309.2,
"Total employment","Annual","Germany","2009",1389.7,
