"year","Total"
2001,4.2
2001,4.2
2001,4.3
2001,4.4
2001,4.3
2001,4.5
2001,4.6
2001,4.9
2001,5
2001,5.3
2001,5.5
2001,5.7
2002,5.7
2002,5.7
2002,5.7
2002,5.9
2002,5.8
2002,5.8
2002,5.8
2002,5.7
2002,5.7
2002,5.7
2002,5.9
2002,6
2003,5.8
2003,5.9
2003,5.9
2003,6
2003,6.1
2003,6.3
2003,6.2
2003,6.1
2003,6.1
2003,6
2003,5.8
2003,5.7
2004,5.7
2004,5.6
2004,5.8
2004,5.6
2004,5.6
2004,5.6
2004,5.5
2004,5.4
2004,5.4
2004,5.5
2004,5.4
2004,5.4
2005,5.3
2005,5.4
2005,5.2
2005,5.2
2005,5.1
2005,5
2005,5
2005,4.9
2005,5
2005,5
2005,5
2005,4.9
2006,4.7
2006,4.8
2006,4.7
2006,4.7
2006,4.6
2006,4.6
2006,4.7
2006,4.7
2006,4.5
2006,4.4
2006,4.5
2006,4.4
2007,4.6
2007,4.5
2007,4.4
2007,4.5
2007,4.4
2007,4.6
2007,4.7
2007,4.6
2007,4.7
2007,4.7
2007,4.7
2007,5
2008,5
2008,4.8
2008,5.1
2008,4.9
2008,5.4
2008,5.6
2008,5.8
2008,6.1
2008,6.2
2008,6.6
2008,6.8
2008,7.3
2009,7.8
2009,8.2
2009,8.6
2009,8.9
2009,9.4
2009,9.5
2009,9.5
2009,9.7
2009,9.8
2009,10.1
2009,9.9
2009,9.9
2010,9.7
2010,9.7
2010,9.7
2010,9.8
2010,9.6
2010,9.5
2010,9.5
2010,9.6
2010,9.6
2010,9.7
2010,9.8
2010,9.4
2011,9
2011,8.9
2011,8.8
2011,9
2011,9.1
2011,9.2
