"Sex","Age","Time","Value"
"Males","Population (hist&proj) 15-64, persons","1950",20467
"Males","Population (hist&proj) 15-64, persons","1951",20913.73
"Males","Population (hist&proj) 15-64, persons","1952",21150.69
"Males","Population (hist&proj) 15-64, persons","1953",21405.48
"Males","Population (hist&proj) 15-64, persons","1954",21700.64
"Males","Population (hist&proj) 15-64, persons","1955",22022.92
"Males","Population (hist&proj) 15-64, persons","1956",22151.29
"Males","Population (hist&proj) 15-64, persons","1957",22141.74
"Males","Population (hist&proj) 15-64, persons","1958",22275.45
"Males","Population (hist&proj) 15-64, persons","1959",22448.85
"Males","Population (hist&proj) 15-64, persons","1960",22573.68
"Males","Population (hist&proj) 15-64, persons","1961",22624.05
"Males","Population (hist&proj) 15-64, persons","1962",22714.22
"Males","Population (hist&proj) 15-64, persons","1963",22859.26
"Males","Population (hist&proj) 15-64, persons","1964",22984.39
"Males","Population (hist&proj) 15-64, persons","1965",23159.5
"Males","Population (hist&proj) 15-64, persons","1966",23274.76
"Males","Population (hist&proj) 15-64, persons","1967",23209.51
"Males","Population (hist&proj) 15-64, persons","1968",23212.08
"Males","Population (hist&proj) 15-64, persons","1969",23465.29
"Males","Population (hist&proj) 15-64, persons","1970",23580.6
"Males","Population (hist&proj) 15-64, persons","1971",23651.91
"Males","Population (hist&proj) 15-64, persons","1972",23880.73
"Males","Population (hist&proj) 15-64, persons","1973",24117.58
"Males","Population (hist&proj) 15-64, persons","1974",24267.51
"Males","Population (hist&proj) 15-64, persons","1975",24285.62
"Males","Population (hist&proj) 15-64, persons","1976",24357.35
"Males","Population (hist&proj) 15-64, persons","1977",24519.2
"Males","Population (hist&proj) 15-64, persons","1978",24746.61
"Males","Population (hist&proj) 15-64, persons","1979",25058.94
"Males","Population (hist&proj) 15-64, persons","1980",25470.86
"Males","Population (hist&proj) 15-64, persons","1981",25899.3
"Males","Population (hist&proj) 15-64, persons","1982",26244.33
"Males","Population (hist&proj) 15-64, persons","1983",26527.05
"Males","Population (hist&proj) 15-64, persons","1984",26725.4
"Males","Population (hist&proj) 15-64, persons","1985",26846.27
"Males","Population (hist&proj) 15-64, persons","1986",26979.73
"Males","Population (hist&proj) 15-64, persons","1987",27118.68
"Males","Population (hist&proj) 15-64, persons","1988",27276.66
"Males","Population (hist&proj) 15-64, persons","1989",27515.36
"Males","Population (hist&proj) 15-64, persons","1990",27750.9
"Males","Population (hist&proj) 15-64, persons","1991",27936.37
"Males","Population (hist&proj) 15-64, persons","1992",28175.54
"Males","Population (hist&proj) 15-64, persons","1993",28347.95
"Males","Population (hist&proj) 15-64, persons","1994",28374.55
"Males","Population (hist&proj) 15-64, persons","1995",28410.23
"Males","Population (hist&proj) 15-64, persons","1996",28469.35
"Males","Population (hist&proj) 15-64, persons","1997",28484.28
"Males","Population (hist&proj) 15-64, persons","1998",28463.72
"Males","Population (hist&proj) 15-64, persons","1999",28423.91
