"Year";"Crude birth rate";"Crude death rate (OECD)";"birth rate (OECD)";"death rate (OECD)";"migration (OECD)";"statistical adjustment";"Crude death rate (destatis)";"death rate (destatis)";"Crude birth rate (destatis)";"birth rate (destatis)";"labor force (oecd)";"employment (oecd)"
1975;9.72209;12.11621;0.00972209;0.01211621;-199000;1000;12.6;0.0126;10;0.01;27184000;26110000
1976;9.79795;11.91027;0.00979795;0.01191027;-72000;-1000;12.4;0.0124;10.2;0.0102;27034000;25974000
1977;9.47921;11.48255;0.00947921;0.01148255;33000;1000;11.9;0.0119;10.3;0.0103;27038000;26008000
1978;9.39067;11.78724;0.00939067;0.01178724;115000;1000;12.2;0.0122;10.4;0.0104;27212000;26219000
1979;9.48184;11.59978;0.00948184;0.01159978;246000;1000;12.1;0.0121;10.5;0.0105;27528000;26652000
1980;10.0896;11.60061;0.0100896;0.01160061;312000;0;12.1;0.0121;11;0.011;27948000;27059000
1981;10.13204;11.70453;0.01013204;0.01170453;152000;0;12.2;0.0122;11;0.011;28305000;27033000
1982;10.07634;11.61781;0.01007634;0.01161781;-72000;0;12.1;0.0121;11;0.011;28558000;26725000
1983;9.67009;11.68877;0.00967009;0.01168877;-115000;0;12.1;0.0121;10.6;0.0106;28605000;26347000
1984;9.54592;11.37664;0.00954592;0.01137664;-146000;0;11.8;0.0118;10.5;0.0105;28298000;26297000
1985;9.60113;11.53446;0.00960113;0.01153446;89000;0;12;0.012;10.5;0.0105;28434000;26397000
1986;10.24885;11.49312;0.01024885;0.01149312;196000;0;11.9;0.0119;10.9;0.0109;28768000;26913000
1987;10.48548;11.22045;0.01048548;0.01122045;220000;0;11.6;0.0116;11.1;0.0111;29036000;27236000
1988;11.01198;11.1909;0.01101198;0.0111909;484000;0;11.5;0.0115;11.4;0.0114;29220000;27416000
1989;10.96516;11.22241;0.01096516;0.01122241;977000;3000;11.4;0.0114;11.1;0.0111;29624000;27989000
1990;11.50271;11.2812;0.01150271;0.0112812;1033000;0;11.6;0.0116;11.4;0.0114;30771000;29323000
1991;10.37319;11.38551;0.01037319;0.01138551;603000;0;11.4;0.0114;10.3;0.0103;39577000;37373000
1992;10.03411;10.97674;0.01003411;0.01097674;776000;0;10.9;0.0109;10;0.01;39490000;36875000
1993;9.83285;11.05272;0.00983285;0.01105272;462000;0;11;0.011;9.8;0.0098;39557000;36444000
1994;9.45499;10.8671;0.00945499;0.0108671;316000;0;10.8;0.0108;9.4;0.0094;39492000;36174000
1995;9.36599;10.83517;0.00936599;0.01083517;398000;1000;10.8;0.0108;9.4;0.0094;39376000;36176000
1996;9.71739;10.77947;0.00971739;0.01077947;282000;-1000;10.8;0.0108;9.7;0.0097;39550000;36045000
1997;9.89827;10.48339;0.00989827;0.01048339;94000;-1000;10.5;0.0105;9.9;0.0099;39804000;35897000
1998;9.56769;10.38429;0.00956769;0.01038429;47000;0;10.4;0.0104;9.6;0.0096;40131000;36438000
1999;9.39093;10.30444;0.00939093;0.01030444;202000;0;10.3;0.0103;9.4;0.0094;39614000;36281000
2000;9.32954;10.20532;0.00932954;0.01020532;167000;1000;10.2;0.0102;9.3;0.0093;39533000;36467000
2001;8.91318;10.06679;0.00891318;0.01006679;272000;3000;10.1;0.0101;8.9;0.0089;39686000;36577000
2002;8.71637;10.20748;0.00871637;0.01020748;219000;1000;10.2;0.0102;8.7;0.0087;39641000;36245000
2003;8.56611;10.34719;0.00856611;0.01034719;143000;-1000;10.3;0.0103;8.6;0.0086;39507000;35846000
2004;8.55586;9.91317;0.00855586;0.00991317;83000;-2000;9.9;0.0099;8.6;0.0086;39948000;35841000
