"Time",,"pr_in_to_AL-grund"
1975,,0.0001587
1976,,0.0079915
1977,,0.0181535
1978,,0.0107197
1979,,0.0130674
1980,,0.0169764
1981,,0.0183269
1982,,0.0198847
1983,,0.0214688
1984,,0.0216731
1985,,0.0233007
1986,,0.0214277
1987,,0.0220317
1988,,0.0207862
1989,,0.0199567
1990,,0.0179705
1991,,0.016188
1992,,0.0259201
1993,,0.0301914
1994,,0.0304648
1995,,0.0304986
1996,,0.0336243
1997,,0.0323972
1998,,0.034487
1999,,0.0353459
2000,,0.034085
2001,,0.0317051
2002,,0.0375797
2003,,0.0347787
2004,,0.0297836
