"Time","pr_out_of_AL","pr_out_of_AL-grund"
1975,0.0638202,0.0717676
1976,0.085852,0.0202667
1977,0.0254859,0.0352526
1978,0.0217613,0.031276
1979,0.0191249,0.0306323
1980,0.0233705,0.0352173
1981,0.0250825,0.0359198
1982,0.0264712,0.0357023
1983,0.0297616,0.0377281
1984,0.0308138,0.0389706
1985,0.0320798,0.0408105
1986,0.0318072,0.0409552
1987,0.03078,0.0402506
1988,0.0302759,0.0401617
1989,0.0302443,0.0411639
1990,0.0312436,0.0440097
1991,0.0272222,0.0402903
1992,0.0520372,0.073437
1993,0.0399773,0.0596312
1994,0.439509,0.060607
1995,0.0415622,0.0592185
1996,0.0435314,0.0603564
1997,0.0456608,0.0617069
1998,0.0477549,0.0633756
1999,0.0816261,0.1018106
2000,0.0684831,0.0911614
2001,0.0645204,0.0867483
2002,0.0650546,0.0846409
2003,0.0778148,0.0951263
2004,0.0783791,0.0941453
