"Variable","Time","Value","Flags"
"Total 65 and over","1990",10708835,
"Total population","1990",79103532,
"Females 65 and over","1990",7018520,
"Females Total","1990",40995271,
"Males 65 and over","1990",3690315,
"Males Total","1990",38108261,
"Average population","1990",79428356,
"Total 0-14","1990",12638556,
"Total 15-64","1990",54679986,
"Females 0-14","1990",6153985,
"Females 15-64","1990",27021112,
"Males 0-14","1990",6484571,
"Males 15-64","1990",27658874,
"Total 65 and over","1991",11914388,
"Total population","1991",79753180,
"Females 65 and over","1991",7894418,
"Females Total","1991",41253314,
"Males 65 and over","1991",4019970,
"Males Total","1991",38499866,
"Average population","1991",80013883.5,
"Total 0-14","1991",12934603,
"Total 15-64","1991",54904189,
"Females 0-14","1991",6297564,
"Females 15-64","1991",27061332,
"Males 0-14","1991",6637039,
"Males 15-64","1991",27842857,
"Total 65 and over","1992",12032604,
"Total population","1992",80274587,
"Females 65 and over","1992",7945687,
"Females Total","1992",41435414,
"Males 65 and over","1992",4086917,
"Males Total","1992",38839173,
"Average population","1992",80624616,
"Total 0-14","1992",13099753,
"Total 15-64","1992",55142230,
"Females 0-14","1992",6377376,
"Females 15-64","1992",27112351,
"Males 0-14","1992",6722377,
"Males 15-64","1992",28029879,
"Total 65 and over","1993",12176164,
"Total population","1993",80974645,
"Females 65 and over","1993",7991274,
"Females Total","1993",41674558,
"Males 65 and over","1993",4184890,
"Males Total","1993",39300087,
"Average population","1993",81156368,
"Total 0-14","1993",13241963,
"Total 15-64","1993",55556518,
"Females 0-14","1993",6448013,
"Females 15-64","1993",27235271,
"Males 0-14","1993",6793950,
"Males 15-64","1993",28321247,
"Total 65 and over","1994",12359913,
"Total population","1994",81338091,
"Females 65 and over","1994",8043270,
"Females Total","1994",41819932,
"Males 65 and over","1994",4316643,
"Males Total","1994",39518159,
"Average population","1994",81438347,
"Total 0-14","1994",13308168,
"Total 15-64","1994",55670010,
"Females 0-14","1994",6480975,
"Females 15-64","1994",27295687,
"Males 0-14","1994",6827193,
"Males 15-64","1994",28374323,
"Total 65 and over","1995",12541773,
"Total population","1995",81538603,
"Females 65 and over","1995",8092139,
"Females Total","1995",41893638,
"Males 65 and over","1995",4449634,
"Males Total","1995",39644965,
"Average population","1995",81678051,
"Total 0-14","1995",13294335,
"Total 15-64","1995",55702495,
"Females 0-14","1995",6473490,
"Females 15-64","1995",27328009,
"Males 0-14","1995",6820845,
"Males 15-64","1995",28374486,
"Total 65 and over","1996",12732450,
"Total population","1996",81817499,
"Females 65 and over","1996",8146661,
"Females Total","1996",41992676,
"Males 65 and over","1996",4585789,
"Males Total","1996",39824823,
"Average population","1996",81914830.5,
"Total 0-14","1996",13238485,
"Total 15-64","1996",55846564,
"Females 0-14","1996",6445425,
"Females 15-64","1996",27400590,
"Males 0-14","1996",6793060,
"Males 15-64","1996",28445974,
"Total 65 and over","1997",12856779,
"Total population","1997",82012162,
"Females 65 and over","1997",8163053,
"Females Total","1997",42057327,
"Males 65 and over","1997",4693726,
"Males Total","1997",39954835,
"Average population","1997",82034770.5,
"Total 0-14","1997",13187246,
"Total 15-64","1997",55968137,
"Females 0-14","1997",6418860,
"Females 15-64","1997",27475414,
"Males 0-14","1997",6768386,
"Males 15-64","1997",28492723,
"Total 65 and over","1998",12966415,
"Total population","1998",82057379,
"Females 65 and over","1998",8172700,
"Females Total","1998",42065068,
"Males 65 and over","1998",4793715,
"Males Total","1998",39992311,
"Average population","1998",82047195,
"Total 0-14","1998",13098411,
"Total 15-64","1998",55992553,
"Females 0-14","1998",6375640,
"Females 15-64","1998",27516728,
"Males 0-14","1998",6722771,
"Males 15-64","1998",28475825,
"Total 65 and over","1999",13067456,
"Total population","1999",82037011,
"Females 65 and over","1999",8176660,
"Females Total","1999",42032869,
"Males 65 and over","1999",4890796,
"Males Total","1999",40004142,
"Average population","1999",82100243,
"Total 0-14","1999",12980043,
"Total 15-64","1999",55989512,
"Females 0-14","1999",6318311,
"Females 15-64","1999",27537898,
"Males 0-14","1999",6661732,
"Males 15-64","1999",28451614,
"Total 65 and over","2000",13351252,
"Total population","2000",82163475,
"Females 65 and over","2000",8275822,
"Females Total","2000",42072699,
"Males 65 and over","2000",5075430,
"Males Total","2000",40090776,
"Average population","2000",82187600,
"Total 0-14","2000",12897014,
"Total 15-64","2000",55915209,
"Females 0-14","2000",6277869,
"Females 15-64","2000",27519008,
"Males 0-14","2000",6619145,
"Males 15-64","2000",28396201,
"Total 65 and over","2001",13694014,
"Total population","2001",82259540,
"Females 65 and over","2001",8407462,
"Females Total","2001",42103004,
"Males 65 and over","2001",5286552,
"Males Total","2001",40156536,
"Average population","2001",82339400,
"Total 0-14","2001",12777242,
"Total 15-64","2001",55788284,
"Females 0-14","2001",6220071,
"Females 15-64","2001",27475471,
"Males 0-14","2001",6557171,
"Males 15-64","2001",28312813,
"Total 65 and over","2002",14065722,
"Total population","2002",82440309,
"Females 65 and over","2002",8554955,
"Females Total","2002",42165633,
"Males 65 and over","2002",5510767,
"Males Total","2002",40274676,
"Average population","2002",82482300,
"Total 0-14","2002",12618844,
"Total 15-64","2002",55755743,
"Females 0-14","2002",6141985,
"Females 15-64","2002",27468693,
"Males 0-14","2002",6476859,
"Males 15-64","2002",28287050,
"Total 65 and over","2003",14438819,
"Total population","2003",82536680,
"Females 65 and over","2003",8700571,
"Females Total","2003",42191801,
"Males 65 and over","2003",5738248,
"Males Total","2003",40344879,
"Average population","2003",82534200,
"Total 0-14","2003",12415580,
"Total 15-64","2003",55682281,
"Females 0-14","2003",6043791,
"Females 15-64","2003",27447439,
"Males 0-14","2003",6371789,
"Males 15-64","2003",28234842,
"Total 65 and over","2004",14859995,
"Total population","2004",82531671,
"Females 65 and over","2004",8872415,
"Females Total","2004",42175657,
"Males 65 and over","2004",5987580,
"Males Total","2004",40356014,
"Average population","2004",82516300,
"Total 0-14","2004",12162110,
"Total 15-64","2004",55509566,
"Females 0-14","2004",5923729,
"Females 15-64","2004",27379513,
"Males 0-14","2004",6238381,
"Males 15-64","2004",28130053,
"Total 65 and over","2005",15367451,
"Total population","2005",82500849,
"Females 65 and over","2005",9094516,
"Females Total","2005",42147222,
"Males 65 and over","2005",6272935,
"Males Total","2005",40353627,
"Average population","2005",82469400,
"Total 0-14","2005",11924658,
"Total 15-64","2005",55208740,
"Females 0-14","2005",5807535,
"Females 15-64","2005",27245171,
"Males 0-14","2005",6117123,
"Males 15-64","2005",27963569,
"Total 65 and over","2006",15870074,
"Total population","2006",82437995,
"Females 65 and over","2006",9313673,
"Females Total","2006",42098034,
"Males 65 and over","2006",6556401,
"Males Total","2006",40339961,
"Average population","2006",82376400,
"Total 0-14","2006",11649872,
"Total 15-64","2006",54918049,
"Females 0-14","2006",5674325,
"Females 15-64","2006",27110036,
"Males 0-14","2006",5975547,
"Males 15-64","2006",27808013,
"Total 65 and over","2007",16299289,
"Total population","2007",82314906,
"Females 65 and over","2007",9496708,
"Females Total","2007",42013740,
"Males 65 and over","2007",6802581,
"Males Total","2007",40301166,
"Average population","2007",82111100,
"Total 0-14","2007",11441366,
"Total 15-64","2007",54574251,
"Females 0-14","2007",5572116,
"Females 15-64","2007",26944916,
"Males 0-14","2007",5869250,
"Males 15-64","2007",27629335,
"Total 65 and over","2008",16518744,
"Total population","2008",82217837,
"Females 65 and over","2008",9573790,
"Females Total","2008",41943545,
"Males 65 and over","2008",6944954,
"Males Total","2008",40274292,
"Average population","2008",82217837,
"Total 0-14","2008",11281696,
"Total 15-64","2008",54417397,
"Females 0-14","2008",5493189,
"Females 15-64","2008",26876566,
"Males 0-14","2008",5788507,
"Males 15-64","2008",27540831,
"Total 65 and over","2009",16729013,
"Total population","2009",82002356,
"Females 65 and over","2009",9645353,
"Females Total","2009",41818073,
"Males 65 and over","2009",7083660,
"Males Total","2009",40184283,
"Total 0-14","2009",11139106,
"Total 15-64","2009",54134237,
"Females 0-14","2009",5424587,
"Females 15-64","2009",26748133,
"Males 0-14","2009",5714519,
"Males 15-64","2009",27386104,
"Total 65 and over","1990",1250040,
"Total population","1990",9618706,
"Females 65 and over","1990",810026,
"Females Total","1990",4948539,
"Males 65 and over","1990",440014,
"Males Total","1990",4670167,
"Average population","1990",9720377.5,
"Total 0-14","1990",1520832,
"Total 15-64","1990",6718263,
"Females 0-14","1990",741157,
"Females 15-64","1990",3301504,
"Males 0-14","1990",779675,
"Males 15-64","1990",3416759,
"Total 65 and over","1991",1404184,
"Total population","1991",9822049,
"Females 65 and over","1991",920251,
"Females Total","1991",5038389,
"Males 65 and over","1991",483933,
"Males Total","1991",4783660,
"Average population","1991",9911946,
"Total 0-14","1991",1582234,
"Total 15-64","1991",6835631,
"Females 0-14","1991",771234,
"Females 15-64","1991",3346904,
"Males 0-14","1991",811000,
"Males 15-64","1991",3488727,
"Total 65 and over","1992",1427497,
"Total population","1992",10001843,
"Females 65 and over","1992",932038,
"Females Total","1992",5120264,
"Males 65 and over","1992",495459,
"Males Total","1992",4881579,
"Average population","1992",10075276,
"Total 0-14","1992",1637307,
"Total 15-64","1992",6937039,
"Females 0-14","1992",797980,
"Females 15-64","1992",3390246,
"Males 0-14","1992",839327,
"Males 15-64","1992",3546793,
"Total 65 and over","1993",1450347,
"Total population","1993",10148709,
"Females 65 and over","1993",941295,
"Females Total","1993",5182108,
"Males 65 and over","1993",509052,
"Males Total","1993",4966601,
"Average population","1993",10191371,
"Total 0-14","1993",1682492,
"Total 15-64","1993",7015870,
"Females 0-14","1993",819620,
"Females 15-64","1993",3421193,
"Males 0-14","1993",862872,
"Males 15-64","1993",3594677,
"Total 65 and over","1994",1477952,
"Total population","1994",10234033,
"Females 65 and over","1994",951215,
"Females Total","1994",5226107,
"Males 65 and over","1994",526737,
"Males Total","1994",5007926,
"Average population","1994",10253051,
"Total 0-14","1994",1719350,
"Total 15-64","1994",7036731,
"Females 0-14","1994",837859,
"Females 15-64","1994",3437033,
"Males 0-14","1994",881491,
"Males 15-64","1994",3599698,
"Total 65 and over","1995",1505454,
"Total population","1995",10272069,
"Females 65 and over","1995",960658,
"Females Total","1995",5249484,
"Males 65 and over","1995",544796,
"Males Total","1995",5022585,
"Average population","1995",10295718,
"Total 0-14","1995",1736169,
"Total 15-64","1995",7030446,
"Females 0-14","1995",845793,
"Females 15-64","1995",3443033,
"Males 0-14","1995",890376,
"Males 15-64","1995",3587413,
"Total 65 and over","1996",1533250,
"Total population","1996",10319367,
"Females 65 and over","1996",969962,
"Females Total","1996",5272520,
"Males 65 and over","1996",563288,
"Males Total","1996",5046847,
"Average population","1996",10346936,
"Total 0-14","1996",1745332,
"Total 15-64","1996",7040785,
"Females 0-14","1996",849892,
"Females 15-64","1996",3452666,
"Males 0-14","1996",895440,
"Males 15-64","1996",3588119,
"Total 65 and over","1997",1553728,
"Total population","1997",10374505,
"Females 65 and over","1997",975035,
"Females Total","1997",5297785,
"Males 65 and over","1997",578693,
"Males Total","1997",5076720,
"Average population","1997",10385557.5,
"Total 0-14","1997",1755947,
"Total 15-64","1997",7064830,
"Females 0-14","1997",854765,
"Females 15-64","1997",3467985,
"Males 0-14","1997",901182,
"Males 15-64","1997",3596845,
"Total 65 and over","1998",1571996,
"Total population","1998",10396610,
"Females 65 and over","1998",978772,
"Females Total","1998",5307977,
"Males 65 and over","1998",593224,
"Males Total","1998",5088633,
"Average population","1998",10411325,
"Total 0-14","1998",1757674,
"Total 15-64","1998",7066940,
"Females 0-14","1998",855444,
"Females 15-64","1998",3473761,
"Males 0-14","1998",902230,
"Males 15-64","1998",3593179,
"Total 65 and over","1999",1589887,
"Total population","1999",10426040,
"Females 65 and over","1999",982309,
"Females Total","1999",5320507,
"Males 65 and over","1999",607578,
"Males Total","1999",5105533,
"Average population","1999",10450986,
"Total 0-14","1999",1758722,
"Total 15-64","1999",7077431,
"Females 0-14","1999",855709,
"Females 15-64","1999",3482489,
"Males 0-14","1999",903013,
"Males 15-64","1999",3594942,
"Total 65 and over","2000",1624900,
"Total population","2000",10475932,
"Females 65 and over","2000",994715,
"Females Total","2000",5343567,
