"Age","Population","Checksum"
0,719.3,
1,739.5,
2,773.8,
3,777.8,
4,794.1,3804.5
5,819,
6,803.4,
7,777.1,
8,787,
9,819.4,4005.9
10,840.1,
11,873.3,
12,961.4,
13,951.5,
14,979,4605.3
15,959.4,
16,945.1,
17,916.5,
18,917.9,
19,934.5,4673.4
20,969.9,
21,976.4,
22,992.8,
23,953,
24,948.9,4841
25,946,
26,936.3,
27,916.2,
28,933.1,
29,947.8,4679.4
30,1042.5,
31,1154.1,
32,1210,
33,1300.7,
34,1364.7,6072
35,1400.2,
36,1439.9,
37,1450.6,
38,1476.5,
39,1468.2,7235.4
40,1424.2,
41,1403.7,
42,1366.9,
43,1324,
44,1258.2,6777
45,1234.7,
46,1205.7,
47,1172.5,
48,1155.5,
49,1121.4,5889.8
50,1125.5,
51,1104.7,
52,1113.4,
53,1076.5,
54,991.3,5411.4
55,934.9,
56,821.3,
57,729.1,
58,968.5,
59,985.5,4439.3
60,960,
61,1161,
62,1224.6,
63,1199.7,
64,1118.3,5663.6
65,1042,
66,1010.3,
67,970.4,
68,896.6,
69,717.8,4637.1
70,709.7,
71,715.5,
72,745.6,
73,712.8,
74,696.7,3580.3
75,634.9,
76,610.1,
77,587.2,
78,528.4,
79,496.8,2857.4
80,492.4,
81,483.7,
82,442.8,
83,309.4,
84,184.1,1912.4
85,160,
86,158.3,
87,181.1,
88,201.8,
89,171.9,873.1
90,143.2,
91,107.2,
92,84.8,
93,62.9,
94,44.9,443
95,135.5,
