"year","month","Total","Male","Female","juveniles","Long-term"
2011,"Jun",2893,1527,1366,42,886
2011,"May",2960,1574,1386,42,889
2011,"Apr",3078,1654,1425,44,897
2011,"Mar",3210,1758,1452,47,904
2011,"Feb",3313,1836,1477,49,903
2011,"Jan",3346,1853,1493,48,908
2010,"Dec",3011,1617,1394,45,887
2010,"Nov",2927,1539,1388,45,890
2010,"Oct",2941,1540,1401,50,899
2010,"Sep",3026,1587,1439,58,916
2010,"Aug",3183,1672,1510,75,939
2010,"Jul",3186,1691,1496,66,947
2010,"Jun",3148,1697,1451,48,956
2010,"May",3236,1765,1471,49,963
2010,"Apr",3399,1879,1521,52,979
2010,"Mar",3560,2019,1541,58,969
2010,"Feb",3635,2072,1563,59,965
2010,"Jan",3610,2039,1570,57,965
2009,"Dec",3268,1791,1476,55,915
2009,"Nov",3208,1737,1470,56,908
2009,"Oct",3221,1736,1485,61,908
2009,"Sep",3338,1800,1538,76,917
2009,"Aug",3463,1866,1597,94,918
2009,"Jul",3454,1873,1581,78,924
2009,"Jun",3401,1860,1542,57,932
2009,"May",3449,1891,1558,58,936
2009,"Apr",3575,1966,1609,61,957
2009,"Mar",3576,1984,1592,64,950
2009,"Feb",3542,1954,1588,64,958
2009,"Jan",3480,1894,1586,61,970
2008,"Dec",3094,1613,1480,57,944
2008,"Nov",2980,1511,1469,56,964
2008,"Oct",2989,1497,1491,62,993
2008,"Sep",3073,1532,1541,78,1016
2008,"Aug",3187,1585,1602,93,1050
2008,"Jul",3201,1599,1602,76,1074
2008,"Jun",3151,1591,1561,55,1092
2008,"May",3273,1667,1607,57,1128
2008,"Apr",3403,1749,1654,61,1155
2008,"Mar",3496,1820,1676,66,1162
2008,"Feb",3606,1888,1717,70,1185
2008,"Jan",3647,1902,1745,69,1205
2007,"Dec",3395,1713,1682,68,1163
2007,"Nov",3367,1668,1698,71,1185
2007,"Oct",3421,1683,1738,79,1226
2007,"Sep",3530,1733,1797,101,1262
2007,"Aug",3691,1809,1882,121,1311
2007,"Jul",3701,1829,1872,90,1344
2007,"Jun",3672,1833,1839,69,1379
2007,"May",3795,1910,1886,70,1430
2007,"Apr",3957,2012,1946,74,1496
2007,"Mar",4104,2124,1980,81,1510
2007,"Feb",4225,2201,2024,84,1561
2007,"Jan",4262,2205,2057,84,1587
2006,"Dec",4008,2011,1997,85,1550
2006,"Nov",3996,1988,2008,90,1567
2006,"Oct",4084,2033,2051,101,1608
2006,"Sep",4238,2121,2116,123,1642
2006,"Aug",4372,2199,2173,142,1667
2006,"Jul",4386,2234,2152,119,1688
2006,"Jun",4399,2276,2122,97,1702
2006,"May",4538,2379,2159,99,1710
2006,"Apr",4790,2570,2221,107,1736
2006,"Mar",4977,2732,2245,114,1761
2006,"Feb",5048,2778,2269,114,1733
2006,"Jan",5010,2734,2277,110,1674
2005,"Dec",4605,2433,2171,108,1551
2005,"Nov",4531,2358,2171,113,1538
2005,"Oct",4555,2367,2187,123,1548
2005,"Sep",4647,2423,2223,142,1559
2005,"Aug",4798,2512,2286,155,1577
2005,"Jul",4837,2555,2282,138,1595
2005,"Jun",4781,2552,2229,106,1585
2005,"May",4884,2627,2257,106,1602
2005,"Apr",5052,2744,2308,114,1620
2005,"Mar",5266,2930,2336,126,1634
2005,"Feb",5288,2939,2349,131,1635
2005,"Jan",5087,2828,2258,122,1613
