"Series";"Sex";"Age";"Frequency";"Country";"Time";"Value";"Flags"
"Employment";"All persons";"15 to 19";"Annual";"Germany";"1970";2537.6;
"Employment";"Men";"15 to 19";"Annual";"Germany";"1970";1330.8;
"Employment";"Women";"15 to 19";"Annual";"Germany";"1970";1206.8;
"Labour Force";"All persons";"15 to 19";"Annual";"Germany";"1970";2548;
"Labour Force";"Men";"15 to 19";"Annual";"Germany";"1970";1335;
"Labour Force";"Women";"15 to 19";"Annual";"Germany";"1970";1213;
"Population";"All persons";"15 to 19";"Annual";"Germany";"1970";3996;
"Population";"Men";"15 to 19";"Annual";"Germany";"1970";2044;
"Population";"Women";"15 to 19";"Annual";"Germany";"1970";1952;
"Unemployment";"All persons";"15 to 19";"Annual";"Germany";"1970";10.4;
"Unemployment";"Men";"15 to 19";"Annual";"Germany";"1970";4.2;
"Unemployment";"Women";"15 to 19";"Annual";"Germany";"1970";6.2;
"Employment";"All persons";"20 to 24";"Annual";"Germany";"1970";2866.4;
"Employment";"Men";"20 to 24";"Annual";"Germany";"1970";1642.1;
"Employment";"Women";"20 to 24";"Annual";"Germany";"1970";1224.3;
"Labour Force";"All persons";"20 to 24";"Annual";"Germany";"1970";2881;
"Labour Force";"Men";"20 to 24";"Annual";"Germany";"1970";1648;
"Labour Force";"Women";"20 to 24";"Annual";"Germany";"1970";1233;
"Population";"All persons";"20 to 24";"Annual";"Germany";"1970";3725;
"Population";"Men";"20 to 24";"Annual";"Germany";"1970";1905;
"Population";"Women";"20 to 24";"Annual";"Germany";"1970";1820;
"Unemployment";"All persons";"20 to 24";"Annual";"Germany";"1970";14.6;
"Unemployment";"Men";"20 to 24";"Annual";"Germany";"1970";5.9;
"Unemployment";"Women";"20 to 24";"Annual";"Germany";"1970";8.7;
"Employment";"All persons";"25 to 29";"Annual";"Germany";"1970";3113.5;
"Employment";"Men";"25 to 29";"Annual";"Germany";"1970";2086.3;
"Employment";"Women";"25 to 29";"Annual";"Germany";"1970";1027.2;
"Labour Force";"All persons";"25 to 29";"Annual";"Germany";"1970";3127;
"Labour Force";"Men";"25 to 29";"Annual";"Germany";"1970";2093;
"Labour Force";"Women";"25 to 29";"Annual";"Germany";"1970";1034;
"Population";"All persons";"25 to 29";"Annual";"Germany";"1970";4293;
"Population";"Men";"25 to 29";"Annual";"Germany";"1970";2227;
"Population";"Women";"25 to 29";"Annual";"Germany";"1970";2066;
"Unemployment";"All persons";"25 to 29";"Annual";"Germany";"1970";13.5;
"Unemployment";"Men";"25 to 29";"Annual";"Germany";"1970";6.7;
"Unemployment";"Women";"25 to 29";"Annual";"Germany";"1970";6.8;
"Employment";"All persons";"30 to 34";"Annual";"Germany";"1970";3612.3;
"Employment";"Men";"30 to 34";"Annual";"Germany";"1970";2547.3;
"Employment";"Women";"30 to 34";"Annual";"Germany";"1970";1065;
"Labour Force";"All persons";"30 to 34";"Annual";"Germany";"1970";3626;
"Labour Force";"Men";"30 to 34";"Annual";"Germany";"1970";2554;
"Labour Force";"Women";"30 to 34";"Annual";"Germany";"1970";1072;
"Population";"All persons";"30 to 34";"Annual";"Germany";"1970";4955;
"Population";"Men";"30 to 34";"Annual";"Germany";"1970";2588;
"Population";"Women";"30 to 34";"Annual";"Germany";"1970";2367;
"Unemployment";"All persons";"30 to 34";"Annual";"Germany";"1970";13.7;
"Unemployment";"Men";"30 to 34";"Annual";"Germany";"1970";6.7;
"Unemployment";"Women";"30 to 34";"Annual";"Germany";"1970";7;
"Employment";"All persons";"35 to 39";"Annual";"Germany";"1970";2891.7;
"Employment";"Men";"35 to 39";"Annual";"Germany";"1970";2022.9;
"Employment";"Women";"35 to 39";"Annual";"Germany";"1970";868.8;
"Labour Force";"All persons";"35 to 39";"Annual";"Germany";"1970";2903;
"Labour Force";"Men";"35 to 39";"Annual";"Germany";"1970";2029;
"Labour Force";"Women";"35 to 39";"Annual";"Germany";"1970";874;
"Population";"All persons";"35 to 39";"Annual";"Germany";"1970";3929;
"Population";"Men";"35 to 39";"Annual";"Germany";"1970";2047;
"Population";"Women";"35 to 39";"Annual";"Germany";"1970";1882;
"Unemployment";"All persons";"35 to 39";"Annual";"Germany";"1970";11.3;
"Unemployment";"Men";"35 to 39";"Annual";"Germany";"1970";6.1;
"Unemployment";"Women";"35 to 39";"Annual";"Germany";"1970";5.2;
"Employment";"All persons";"40 to 44";"Annual";"Germany";"1970";2871.8;
"Employment";"Men";"40 to 44";"Annual";"Germany";"1970";1913.3;
"Employment";"Women";"40 to 44";"Annual";"Germany";"1970";958.5;
"Labour Force";"All persons";"40 to 44";"Annual";"Germany";"1970";2883;
"Labour Force";"Men";"40 to 44";"Annual";"Germany";"1970";1920;
"Labour Force";"Women";"40 to 44";"Annual";"Germany";"1970";963;
"Population";"All persons";"40 to 44";"Annual";"Germany";"1970";3925;
"Population";"Men";"40 to 44";"Annual";"Germany";"1970";1947;
