"Year";"Crude birth rate";"Crude death rate (OECD)";"birth rate (OECD)";"death rate (OECD)";"migration (OECD)";"statistical adjustment";"Crude death rate (destatis)";"death rate (destatis)";"Crude birth rate (destatis)";"birth rate (destatis)";"population(oecd)";"labor force (oecd)";"pr_in_labor_force";"employment (oecd)";"pr_out_of_AL-grund";"pr_in_to_AL-grund";"Out of AL";"In to AL";"pr_out_of_AL_corrected";"pr_in_to_AL_corrected"
1975;9.72209;12.11621;0.00972209;0.01211621;-199000;1000;12.6;0.0126;10;0.01;61829000;27184000;0.4396642352;26110000;0.0717676;0.0001587;84908.8217008;187.7592396;0.163232745;0.0003609573
1976;9.79795;11.91027;0.00979795;0.01191027;-72000;-1000;12.4;0.0124;10.2;0.0102;61531000;27034000;0.4393557719;25974000;0.0202667;0.0079915;23977.6949036;9454.807582;0.0461282207;0.0181891317
1977;9.47921;11.48255;0.00947921;0.01148255;33000;1000;11.9;0.0119;10.3;0.0103;61400000;27038000;0.4403583062;26008000;0.0352526;0.0181535;41707.6330808;21477.551078;0.0800543546;0.0412243842
1978;9.39067;11.78724;0.00939067;0.01178724;115000;1000;12.2;0.0122;10.4;0.0104;61327000;27212000;0.4437197319;26219000;0.031276;0.0107197;37002.885808;12682.5628276;0.0704859346;0.0241587183
1979;9.48184;11.59978;0.00948184;0.01159978;246000;1000;12.1;0.0121;10.5;0.0105;61359000;27528000;0.4486383416;26652000;0.0306323;0.0130674;36241.3191884;15460.1454792;0.0682783819;0.0291268017
1980;10.0896;11.60061;0.0100896;0.01160061;312000;0;12.1;0.0121;11;0.011;61566000;27948000;0.4539518565;27059000;0.0352173;0.0169764;41665.8693684;20084.9146512;0.0775793721;0.0373969172
1981;10.13204;11.70453;0.01013204;0.01170453;152000;0;12.2;0.0122;11;0.011;61682000;28305000;0.4588858986;27033000;0.0359198;0.0183269;42497.0027384;21682.7020052;0.0782761033;0.0399378147
1982;10.07634;11.61781;0.01007634;0.01161781;-72000;0;12.1;0.0121;11;0.011;61638000;28558000;0.463318083;26725000;0.0357023;0.0198847;42239.6767484;23525.7476476;0.0770578601;0.0429180313
1983;9.67009;11.68877;0.00967009;0.01168877;-115000;0;12.1;0.0121;10.6;0.0106;61423000;28605000;0.4657050291;26347000;0.0377281;0.0214688;44636.4169348;25399.9090304;0.0810128679;0.0460995666
1984;9.54592;11.37664;0.00954592;0.01137664;-146000;0;11.8;0.0118;10.5;0.0105;61175000;28298000;0.4625745811;26297000;0.0389706;0.0216731;46106.4286248;25641.6179948;0.0842471714;0.0468532014
