"Age";"Population";"Checksum"
0;719300;
1;739500;
2;773800;
3;777800;
4;794100;3804.5
5;819000;
6;803400;
7;777100;
8;787000;
9;819400;4005.9
10;840100;
11;873300;
12;961400;
13;951500;
14;979000;4605.3
15;959400;
16;945100;
17;916500;
18;917900;
19;934500;4673.4
20;969900;
21;976400;
22;992800;
23;953000;
24;948900;4841
25;946000;
26;936300;
27;916200;
28;933100;
29;947800;4679.4
30;1042500;
31;1154100;
32;1210000;
33;1300700;
34;1364700;6072
35;1400200;
36;1439900;
37;1450600;
38;1476500;
39;1468200;7235.4
40;1424200;
41;1403700;
42;1366900;
43;1324000;
44;1258200;6777
45;1234700;
46;1205700;
47;1172500;
48;1155500;
49;1121400;5889.8
50;1125500;
51;1104700;
52;1113400;
53;1076500;
54;991300;5411.4
55;934900;
56;821300;
57;729100;
58;968500;
59;985500;4439.3
60;960000;
61;1161000;
62;1224600;
63;1199700;
64;1118300;5663.6
65;1042000;
66;1010300;
67;970400;
68;896600;
69;717800;4637.1
70;709700;
71;715500;
72;745600;
73;712800;
74;696700;3580.3
75;634900;
76;610100;
77;587200;
78;528400;
79;496800;2857.4
80;492400;
81;483700;
82;442800;
83;309400;
84;184100;1912.4
85;160000;
86;158300;
87;181100;
88;201800;
89;171900;873.1
90;143200;
91;107200;
92;84800;
93;62900;
94;44900;443
95;9033;
96;9033;
97;9033;
98;9033;
99;9033;
100;9033;
101;9033;
102;9033;
103;9033;
104;9033;
105;9033;
106;9033;
107;9033;
108;9033;
109;9033;
110;9033;
111;0;
112;0;
113;0;
114;0;
115;0;
116;0;
117;0;
118;0;
119;0;
120;0;
121;0;
122;0;
123;0;
124;0;
125;0;
126;0;
127;0;
128;0;
129;0;
130;0;
131;0;
132;0;
133;0;
134;0;
135;0;
136;0;
137;0;
138;0;
139;0;
140;0;
141;0;
142;0;
143;0;
144;0;
145;0;
146;0;
147;0;
148;0;
149;0;
